sentence,url,date_published,type
"The second most common narrative is that the EU is failing to cope with the crisis and is disintegrating as a result, together with the border-free Schengen area.",https://euvsdisinfo.eu/throwing-coronavirus-disinfo-at-the-wall-to-see-what-sticks/,2020-04-01,news
"In particular, this narrative of failure and lack of EU solidarity is trending after the delivery of Russian aid to Italy – we have added 26 new disinformation cases to the database.",https://euvsdisinfo.eu/throwing-coronavirus-disinfo-at-the-wall-to-see-what-sticks/,2020-04-01,news
The narrative that the virus is being used as a weapon against China and its economy comes in third place with 24 cases.,https://euvsdisinfo.eu/throwing-coronavirus-disinfo-at-the-wall-to-see-what-sticks/,2020-04-01,news
Do the most common narratives also mean most engagement?,https://euvsdisinfo.eu/throwing-coronavirus-disinfo-at-the-wall-to-see-what-sticks/,2020-04-01,news
Then we linked the most popular URLs with cases to see which of the narratives have struck a chord with the public.,https://euvsdisinfo.eu/throwing-coronavirus-disinfo-at-the-wall-to-see-what-sticks/,2020-04-01,news
"While the pro-Kremlin media has been pushing all sorts of different and often contradictory narratives – ranging from bizarre conspiracy theories, to Ukraine responding inadequately to the pandemic, to the West either failing to react or reacting hysterically – the articles that saw the biggest engagement numbers all claimed that the virus was manufactured by the United States.",https://euvsdisinfo.eu/throwing-coronavirus-disinfo-at-the-wall-to-see-what-sticks/,2020-04-01,news
"This is a recurring pro-Kremlin disinformation narrative painting the 2013-14 protests in Kyiv as a coup orchestrated by the West, and alleging that Russia's armed aggression in east Ukraine is a civil war.",https://euvsdisinfo.eu/report/ukrainian-civil-war-caused-by-western-backed-2014-coup-in-kyiv,2019-11-03,claim
"Emerging apocalyptic pro-Kremlin narrative claiming that the coronavirus pandemic will soon lead to the collapse of globalisation, the fall of modern civilisation and could even bring about the end of humanity.",https://euvsdisinfo.eu/report/humanity-may-perish-as-a-result-of-the-coronavirus-pandemic,2020-04-05,claim
"The narrative of “imminent collapse” is one of the core instruments of pro-Kremlin disinformation outlets, used to spread demoralisation and self-doubt among target audiences, as well as to sow discord, panic and diminish trust in national authorities, the EU and international institutions.",https://euvsdisinfo.eu/report/humanity-may-perish-as-a-result-of-the-coronavirus-pandemic,2020-04-05,claim
It traces the road that pro-Kremlin narratives travel across cyberspace.,https://euvsdisinfo.eu/lie-manipulate-spread-change-spread-again/,2019-07-29,news
Sputnik Polska has been actively pushing disinformation narratives related to this topic.,https://euvsdisinfo.eu/lie-manipulate-spread-change-spread-again/,2019-07-29,news
"This narrative’s aims were to portray Poland as a country which doesn’t treat people fairly, to exaggerate Polish-Ukrainian tensions, and to show Ukraine as a country without any prospects, forcing people to leave to become “slaves of Poland”.",https://euvsdisinfo.eu/lie-manipulate-spread-change-spread-again/,2019-07-29,news
"This narrative spread to the mainstream media as well, and its aim was not only to portray Ukrainians in a negative light, but to question the EU visa-free travel for Ukraine.",https://euvsdisinfo.eu/lie-manipulate-spread-change-spread-again/,2019-07-29,news
"Specifically, the content from Sputnik is duplicated (with slight changes in some cases) and disseminated through different websites, choice of which depends on the particular narrative.",https://euvsdisinfo.eu/lie-manipulate-spread-change-spread-again/,2019-07-29,news
"The next stage consists of spreading the same narratives via numerous blogs – this is the point where the content is changed, so that it reflects the familiar style of a blogger.",https://euvsdisinfo.eu/lie-manipulate-spread-change-spread-again/,2019-07-29,news
"Nevertheless, the thrust of the pro-Kremlin narratives stays the same.",https://euvsdisinfo.eu/lie-manipulate-spread-change-spread-again/,2019-07-29,news
Recurring pro-Kremlin disinformation narrative about the Western values.,https://euvsdisinfo.eu/report/in-increasingly-feminised-western-societies-males-refuse-to-assume-their-responsibilities-and-to-live-their-true-nature-while-women-behave-like-men,2019-11-17,claim
Recurring Pro-Kremlin narrative that the EU left Italy alone to fight coronavirus.,https://euvsdisinfo.eu/report/only-russia-and-china-helped-italy,2020-04-20,claim
Recurring pro-Kremlin disinformation narrative denying Russian interference in the 2016 US presidential election.,https://euvsdisinfo.eu/report/nyt-story-on-trumps-tax-returns-proves-russiagate-is-a-hoax,2020-09-28,claim
"Recurring disinformation narrative about George Soros, which is a part of the Antisemitism narrative.",https://euvsdisinfo.eu/report/popper-and-soros-launched-the-term-conspiracy-theory-to-discredit-those-who-speak-the-truth,2019-09-04,claim
